<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.14	03:00:00	1.45120	1.45120	1.44950	1.45010	91	0	50
2000.01.14	06:00:00	1.45020	1.45200	1.45010	1.45100	206	0	50
2000.01.14	09:00:00	1.45120	1.45170	1.45020	1.45060	399	0	50
2000.01.14	12:00:00	1.45080	1.45100	1.44560	1.44690	858	0	50
2000.01.14	15:00:00	1.44670	1.45090	1.44520	1.44950	604	0	50
2000.01.14	18:00:00	1.44910	1.45180	1.44910	1.44950	329	0	50
2000.01.14	21:00:00	1.44970	1.45010	1.44850	1.44910	52	0	50
2000.01.17	00:00:00	1.45030	1.45200	1.45020	1.45160	45	0	50
2000.01.17	03:00:00	1.45130	1.45150	1.45080	1.45120	36	0	50
2000.01.17	06:00:00	1.45130	1.45170	1.45070	1.45100	144	0	50
2000.01.17	09:00:00	1.45110	1.45250	1.45010	1.45070	468	0	50
2000.01.17	12:00:00	1.45080	1.45200	1.45050	1.45140	308	0	50
2000.01.17	15:00:00	1.45150	1.45200	1.45050	1.45080	516	0	50
2000.01.17	18:00:00	1.45100	1.45100	1.44870	1.44900	159	0	50
2000.01.17	21:00:00	1.44910	1.45060	1.44880	1.45010	92	0	50
2000.01.18	00:00:00	1.45000	1.45100	1.44900	1.44960	110	0	50
2000.01.18	03:00:00	1.44920	1.44990	1.44840	1.44870	121	0	50
2000.01.18	06:00:00	1.44870	1.44950	1.44760	1.44830	302	0	50
2000.01.18	09:00:00	1.44830	1.44850	1.44700	1.44800	788	0	50
2000.01.18	12:00:00	1.44770	1.44990	1.44720	1.44850	949	0	50
2000.01.18	15:00:00	1.44840	1.44980	1.44690	1.44980	581	0	50
2000.01.18	18:00:00	1.44950	1.45210	1.44920	1.45010	271	0	50
2000.01.18	21:00:00	1.45040	1.45110	1.44950	1.45070	141	0	50
2000.01.19	00:00:00	1.45040	1.45100	1.45000	1.45050	91	0	50
2000.01.19	03:00:00	1.45060	1.45100	1.44990	1.45070	56	0	50
2000.01.19	06:00:00	1.45080	1.45130	1.44960	1.45010	238	0	50
2000.01.19	09:00:00	1.45000	1.45170	1.44810	1.45170	750	0	50
2000.01.19	12:00:00	1.45170	1.45210	1.44940	1.45160	815	0	50
2000.01.19	15:00:00	1.45140	1.45340	1.45040	1.45260	771	0	50
2000.01.19	18:00:00	1.45230	1.45330	1.45110	1.45240	313	0	50
2000.01.19	21:00:00	1.45170	1.45260	1.45130	1.45220	104	0	50
2000.01.20	00:00:00	1.45230	1.45230	1.45140	1.45230	79	0	50
2000.01.20	03:00:00	1.45210	1.45250	1.45200	1.45220	78	0	50
2000.01.20	06:00:00	1.45210	1.45300	1.45110	1.45210	162	0	50
2000.01.20	09:00:00	1.45210	1.45270	1.45070	1.45080	629	0	50
2000.01.20	12:00:00	1.45110	1.45120	1.44620	1.44720	872	0	50
2000.01.20	15:00:00	1.44690	1.44830	1.44350	1.44760	621	0	50
2000.01.20	18:00:00	1.44790	1.44860	1.44640	1.44740	415	0	50
2000.01.20	21:00:00	1.44680	1.44740	1.44570	1.44670	300	0	50
2000.01.21	00:00:00	1.44640	1.44720	1.44560	1.44600	95	0	50
2000.01.21	03:00:00	1.44600	1.44650	1.44520	1.44580	109	0	50
