,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic__penalty,param_logistic__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,4.993257474899292,0.9351682776926074,0.7515479564666748,0.018360811734254568,l2,0.0001,"{'logistic__penalty': 'l2', 'logistic__C': 0.0001}",0.05632367635696124,0.0645118283786012,0.08603228198429849,0.051194909923349866,0.061994072816641495,0.06401135389197046,0.011938197465105082,9,0.08341646963725315,0.05497129789641638,0.08154592596702061,0.09094890323756691,0.08730961065271435,0.07963844147819428,0.012752673037792029
1,4.391656398773193,0.07668362897763373,0.7709511280059814,0.03371869594410169,l1,0.20691380811147903,"{'logistic__penalty': 'l1', 'logistic__C': 0.20691380811147903}",0.08253353684413857,0.0651252059122091,0.08903102527656159,0.09569909766158315,0.06997174335805971,0.08047212181051042,0.011446840867989978,3,0.10032814624886284,0.11371184700890678,0.11188972045325592,0.11750802407483583,0.13110126360688057,0.11490780027854838,0.009920633447891809
2,4.86381254196167,0.5332184129319422,0.8004620552062989,0.06567533878544318,l2,0.01623776739188724,"{'logistic__penalty': 'l2', 'logistic__C': 0.01623776739188724}",0.08477984030752911,0.08172555004372932,0.10528569116527224,0.0951345647926815,0.09145897357947762,0.09167692397773797,0.008292176229122282,2,0.11258616904609282,0.11033076573914073,0.12242853854571803,0.12666245864219544,0.13774887983170547,0.12195136236097048,0.009947148286747809
3,4.3666496753692625,0.03584031405396592,0.7617669582366944,0.039052753699850146,l2,1.1288378916846895,"{'logistic__penalty': 'l2', 'logistic__C': 1.1288378916846895}",0.07607643302962741,0.05238118955759432,0.10219005824826104,0.07702265024943035,0.08589573564996766,0.07871321334697615,0.01616129304248437,5,0.10832396282004499,0.11710152484403087,0.11400449379453634,0.12363984642315586,0.1315202557033996,0.11891801671703353,0.008009849330043508
4,4.403048133850097,0.045795886445040644,0.7528275489807129,0.019526399982314303,l1,0.037926901907322536,"{'logistic__penalty': 'l1', 'logistic__C': 0.037926901907322536}",0.11164086830536693,0.07794405932058762,0.09150266982852844,0.08005917529043347,0.11580311635666814,0.09538997782031691,0.01571809408544087,1,0.10626314916256951,0.0978665177495686,0.13329521027795746,0.1324355369547691,0.12342133566519206,0.11865634996201135,0.014231485261626703
5,4.424369144439697,0.04828724895672095,0.7437427997589111,0.014874718164040481,l1,14.38449888287663,"{'logistic__penalty': 'l1', 'logistic__C': 14.38449888287663}",0.07788930364129981,0.05238118955759432,0.10219005824826104,0.07702265024943035,0.08412489429288049,0.0787216191978932,0.01598349455858802,4,0.10790135849221552,0.11751906639117529,0.11400449379453634,0.12446934103813756,0.1315202557033996,0.11908290308389287,0.00820931446083362
6,4.379378890991211,0.047098780101169344,0.749554967880249,0.02154417654888356,l2,33.59818286283783,"{'logistic__penalty': 'l2', 'logistic__C': 33.59818286283783}",0.07607643302962741,0.05238118955759432,0.10219005824826104,0.07528423930788303,0.08074068311325905,0.07733452065132497,0.015860989015028484,7,0.10791196686500706,0.11751906639117529,0.11401414172033324,0.12406585870795099,0.13034790075506203,0.11877178688790573,0.0077996640416670635
7,4.409159564971924,0.038735115547857274,0.012940549850463867,1.1544581135658623e-05,l1,0.002976351441631319,"{'logistic__penalty': 'l1', 'logistic__C': 0.002976351441631319}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4.375667333602905,0.013767511019870613,0.7442744731903076,0.011888974268971148,l2,0.0012742749857031347,"{'logistic__penalty': 'l2', 'logistic__C': 0.0012742749857031347}",0.07845786879404884,0.10525973212063786,0.08159232833675253,0.05958078818749561,0.06525974936741835,0.07803009336127065,0.015860544025495908,6,0.09857384287203975,0.0749506196227321,0.11278626311976371,0.11744611098547633,0.11360853766096696,0.10347307485219578,0.015634844080765604
9,4.354624509811401,0.022278785178434873,0.7490440845489502,0.015372353278079268,l2,183.29807108324357,"{'logistic__penalty': 'l2', 'logistic__C': 183.29807108324357}",0.07607643302962741,0.05238118955759432,0.10219005824826104,0.07528423930788303,0.08074068311325905,0.07733452065132497,0.015860989015028484,7,0.10791196686500706,0.11751906639117529,0.11401414172033324,0.12406585870795099,0.13034790075506203,0.11877178688790573,0.0077996640416670635
