,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__num__pca__n_components,param_logistic__penalty,param_logistic__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.023967933654785157,0.004289847369259893,1.2306117057800292,0.9837032604091318,5,l1,0.01623776739188724,"{'preprocessor__num__pca__n_components': 5, 'logistic__penalty': 'l1', 'logistic__C': 0.01623776739188724}",0.017346802129034583,0.0,0.07084910403360227,0.02282343961199677,0.0029495890197247542,0.022793786958871676,0.025504246461888175,6,0.05396380069910583,0.04310919899271856,0.018270180732809848,0.02712522358372624,0.05953486927601001,0.040400654656874105,0.015642303272567524
1,0.1309185028076172,0.04436502283991315,0.7412631511688232,0.019753585635762363,8,l1,14.38449888287663,"{'preprocessor__num__pca__n_components': 8, 'logistic__penalty': 'l1', 'logistic__C': 14.38449888287663}",0.04109267524793418,0.09393507491502172,0.010333221719928214,0.029211791863413394,0.04329125199743769,0.043572803148747036,0.027762194227459253,4,0.102586738470541,0.09698716524449899,0.08000354363358592,0.10291643834785406,0.10584318220114626,0.09766741357952524,0.009285152128215715
2,0.004635667800903321,0.0004916289751263729,0.0,0.0,13,l1,0.037926901907322536,"{'preprocessor__num__pca__n_components': 13, 'logistic__penalty': 'l1', 'logistic__C': 0.037926901907322536}",,,,,,,,8,,,,,,,
3,0.11154360771179199,0.04202135392185591,0.7453568935394287,0.015810737588360862,9,l1,14.38449888287663,"{'preprocessor__num__pca__n_components': 9, 'logistic__penalty': 'l1', 'logistic__C': 14.38449888287663}",0.03330465728760777,0.05897001376956008,0.08459335998469898,0.014130040181438966,0.056278565877798115,0.04945532742022078,0.024002030064611265,1,0.1129927195990733,0.10394228161270042,0.07953355474178521,0.10559496697336163,0.09885730099960721,0.10018416478530554,0.011275349763969673
4,0.020379304885864258,0.001024286761715619,0.7985042572021485,0.045092664071002736,9,l2,0.0005455594781168526,"{'preprocessor__num__pca__n_components': 9, 'logistic__penalty': 'l2', 'logistic__C': 0.0005455594781168526}",0.04562292436722539,0.057662326050916236,0.06453263356366315,0.023449012310573718,0.052209161474736074,0.048695211553422914,0.014074021793042714,2,0.08601028143842417,0.0814725280664259,0.08670528983041799,0.09147916317792622,0.10107567952809016,0.08934858840825688,0.00666674826713332
5,0.026439905166625977,0.002508769324775788,0.8222577571868896,0.09367086901207451,6,l2,0.0005455594781168526,"{'preprocessor__num__pca__n_components': 6, 'logistic__penalty': 'l2', 'logistic__C': 0.0005455594781168526}",0.0,0.06866085254623479,0.11304629446592537,0.026819180629170776,0.03178875735660847,0.048063016999587885,0.039174744142716635,3,0.07487761914041809,0.06855364154908514,0.052826762957979834,0.08195386190802008,0.09562756901423863,0.07476789091394835,0.01419018238789016
6,0.00518641471862793,0.0003989458760905677,0.0,0.0,16,l2,0.0012742749857031347,"{'preprocessor__num__pca__n_components': 16, 'logistic__penalty': 'l2', 'logistic__C': 0.0012742749857031347}",,,,,,,,9,,,,,,,
7,0.1864765167236328,0.08297182184072809,0.7705170154571533,0.0175003739622593,7,l1,33.59818286283783,"{'preprocessor__num__pca__n_components': 7, 'logistic__penalty': 'l1', 'logistic__C': 33.59818286283783}",0.0,0.0583114365751682,0.0447004640048081,0.04615785690037056,0.04996310948357929,0.03982657339278523,0.020466731246360195,5,0.09305010613722309,0.1006940094500757,0.06419474944687122,0.09651138627550584,0.09334170316798329,0.08955839089553183,0.012978181536427956
8,0.004428434371948242,0.0004551358944542453,0.0,0.0,12,l2,428.13323987193957,"{'preprocessor__num__pca__n_components': 12, 'logistic__penalty': 'l2', 'logistic__C': 428.13323987193957}",,,,,,,,10,,,,,,,
9,0.02008709907531738,0.0006152151573759309,0.013609886169433594,0.00040586380644956,3,l1,0.0002335721469090126,"{'preprocessor__num__pca__n_components': 3, 'logistic__penalty': 'l1', 'logistic__C': 0.0002335721469090126}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
