,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,param_preprocessor__num__smoother__kw_args,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.0031241416931152345,0.006248283386230469,0.0,0.0,0.4281332398719387,5.263157894736842,"{'ridge__alpha': 0.4281332398719387, 'preprocessor__num__smoother__kw_args': 5.263157894736842}",,,,,,,,2,,,,,,,
1,0.0031241416931152345,0.006248283386230469,0.0,0.0,0.07847599703514607,9.473684210526315,"{'ridge__alpha': 0.07847599703514607, 'preprocessor__num__smoother__kw_args': 9.473684210526315}",,,,,,,,3,,,,,,,
2,0.009373331069946289,0.007653293314689387,0.0,0.0,0.01438449888287663,13.68421052631579,"{'ridge__alpha': 0.01438449888287663, 'preprocessor__num__smoother__kw_args': 13.68421052631579}",,,,,,,,4,,,,,,,
3,0.0031250953674316407,0.006250190734863281,0.0,0.0,6.951927961775606e-06,12.631578947368421,"{'ridge__alpha': 6.951927961775606e-06, 'preprocessor__num__smoother__kw_args': 12.631578947368421}",,,,,,,,5,,,,,,,
4,0.003123044967651367,0.006246089935302734,0.0,0.0,2.3357214690901212e-07,18.94736842105263,"{'ridge__alpha': 2.3357214690901212e-07, 'preprocessor__num__smoother__kw_args': 18.94736842105263}",,,,,,,,6,,,,,,,
5,0.012496471405029297,0.006248235838067623,0.0062484264373779295,0.00765272823381763,0.0004832930238571752,0.0,"{'ridge__alpha': 0.0004832930238571752, 'preprocessor__num__smoother__kw_args': 0.0}",0.08561084452856459,0.08171320092706863,0.05527269955560538,0.06505515942066316,0.04194214987887054,0.06591881086215445,0.01628621993657731,1,0.19742108783015858,0.16884590679289901,0.16953568989316714,0.1404221879636058,0.19156086338766012,0.17355714717349813,0.02014901926946934
6,0.0,0.0,0.0,0.0,0.006158482110660254,17.894736842105264,"{'ridge__alpha': 0.006158482110660254, 'preprocessor__num__smoother__kw_args': 17.894736842105264}",,,,,,,,7,,,,,,,
7,0.006248664855957031,0.007653020236863752,0.0,0.0,3.792690190732254e-05,9.473684210526315,"{'ridge__alpha': 3.792690190732254e-05, 'preprocessor__num__smoother__kw_args': 9.473684210526315}",,,,,,,,8,,,,,,,
8,0.003124237060546875,0.00624847412109375,0.0,0.0,1.0,9.473684210526315,"{'ridge__alpha': 1.0, 'preprocessor__num__smoother__kw_args': 9.473684210526315}",,,,,,,,9,,,,,,,
9,0.009372806549072266,0.007652864501509686,0.0,0.0,1.2742749857031322e-06,20.0,"{'ridge__alpha': 1.2742749857031322e-06, 'preprocessor__num__smoother__kw_args': 20.0}",,,,,,,,10,,,,,,,
