Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-10-05,11169.11035,11581.23047,11124.4502,11579.94043,11579.94043,18812100000,IXIC
2020-10-12,11732.33008,11965.54004,11559.09961,11671.55957,11671.55957,17324490000,IXIC
2020-10-19,11732.33984,11778.11035,11369.29004,11548.28027,11548.28027,16932980000,IXIC
2020-10-26,11440.63965,11545.62988,10822.57031,10911.58984,10911.58984,17064360000,IXIC
2020-11-02,11010.4502,11924.28027,10830.9502,11895.23047,11895.23047,17973660000,IXIC
2020-11-09,12046.66016,12108.07031,11424.61035,11829.29004,11829.29004,21863210000,IXIC
2020-11-16,11847.11035,11950.17969,11760.98047,11854.96973,11854.96973,23602770000,IXIC
2020-11-23,11916.75977,12236.23047,11796.53027,12205.84961,12205.84961,19465540000,IXIC
2020-11-30,12224.25,12464.23047,12027.16016,12464.23047,12464.23047,29537740000,IXIC
2020-12-07,12461,12607.13965,12214.74023,12377.87012,12377.87012,23369780000,IXIC
2020-12-14,12447.44043,12809.59961,12432.70996,12755.63965,12755.63965,25480450000,IXIC
2020-12-21,12596.13965,12841.91992,12525.21973,12804.73047,12804.73047,21191830000,IXIC
2020-12-28,12914.63965,12973.33008,12821.23047,12888.28027,12888.28027,19820720000,IXIC
2021-01-04,12958.51953,13208.08984,12543.24023,13201.98047,13201.98047,35100170000,IXIC
2021-01-11,13048.78027,13220.16016,12949.75977,12998.5,12998.5,34204780000,IXIC
2021-01-18,13132.73047,13567.13965,13078.7002,13543.05957,13543.05957,26115360000,IXIC
2021-01-25,13681.20996,13728.98047,12985.04981,13070.69043,13070.69043,42655850000,IXIC
2021-02-01,13226.17969,13878.16016,13132.46973,13856.29981,13856.29981,35636080000,IXIC
2021-02-08,13937.05957,14109.12012,13845.46973,14095.46973,14095.46973,44617630000,IXIC
2021-02-15,14152.20996,14175.12012,13714.34961,13874.45996,13874.45996,28013780000,IXIC
2021-02-22,13714.2002,13757.05957,13003.98047,13192.34961,13192.34961,31930490000,IXIC
2021-03-01,13406.16016,13601.33008,12397.04981,12920.15039,12920.15039,30958600000,IXIC
2021-03-08,12904.25977,13433.62012,12599.23047,13319.86035,13319.86035,29686500000,IXIC
2021-03-15,13323.46973,13620.70996,13039.4502,13215.24023,13215.24023,30154140000,IXIC
2021-03-22,13278.78027,13455.63965,12786.80957,13138.73047,13138.73047,27899070000,IXIC
2021-03-29,13103.96973,13487.08008,12922.57031,13480.11035,13480.11035,19153460000,IXIC
2021-04-05,13594.90039,13905.41016,13582.75977,13900.19043,13900.19043,20597570000,IXIC
2021-04-12,13854.44043,14062.5,13783.9502,14052.33984,14052.33984,21330090000,IXIC
2021-04-19,13984.58008,14062.74023,13698.66992,14016.80957,14016.80957,21275370000,IXIC
2021-04-26,14052.37988,14211.57031,13941.62988,13962.67969,13962.67969,23294070000,IXIC
2021-05-03,14031.76953,14042.12012,13439.38965,13752.24023,13752.24023,24466310000,IXIC
2021-05-10,13687.58984,13687.92969,13002.54004,13429.98047,13429.98047,22935790000,IXIC
2021-05-17,13368.79981,13616.58008,13072.23047,13470.99023,13470.99023,20256610000,IXIC
2021-05-24,13557.20996,13820.87012,13551.00977,13748.74023,13748.74023,21299040000,IXIC
2021-05-31,13829.05957,13836.16992,13548.92969,13814.49023,13814.49023,18924740000,IXIC
2021-06-07,13802.82031,14069.41992,13784.88965,14069.41992,14069.41992,25134490000,IXIC
2021-06-14,14083.46973,14196.20996,13903.73047,14030.37988,14030.37988,24177370000,IXIC
2021-06-21,14047.41992,14414.45996,13960.04004,14360.38965,14360.38965,25057060000,IXIC
2021-06-28,14417.80957,14649.11035,14417.2002,14639.33008,14639.33008,22446620000,IXIC
2021-07-05,14661.54981,14755.33008,14371.58984,14701.91992,14701.91992,17406450000,IXIC
2021-07-12,14743.86035,14803.67969,14413.32031,14427.24023,14427.24023,21422090000,IXIC
2021-07-19,14235.98047,14846.05957,14178.66016,14836.99023,14836.99023,20735140000,IXIC
2021-07-26,14821.03027,14863.65039,14503.75977,14672.67969,14672.67969,20478690000,IXIC
